SCF,Population,wp,wa,percent public,API - expected
900,2282817,1929620.91741,-152669479.425,0.845280597354,-66.8776688735
902,1238587,1111941.09099,-38780791.07,0.897749686533,-31.3105103396
903,107012,98764.4213341,-2893275.85565,0.922928469089,-27.0369290888
904,85321,53585.9924241,-2116575.83273,0.628051621806,-24.8072084566
905,174353,152491.522747,3108740.85246,0.874613701785,17.8301540694
906,726229,639546.64718,4429135.74957,0.880640469026,6.09881421642
907,615952,558436.950353,-2085668.46266,0.906624136869,-3.3860892775
908,471835,432373.526803,-1626843.33925,0.916365947424,-3.44790729651
910,273378,224452.671601,-1461218.45582,0.82103414174,-5.34504772082
911,166475,107558.536983,-11091012.8431,0.646094230264,-66.6226931559
912,192339,171174.533646,2606938.74887,0.889962689033,13.5538749233
913,1341002,1120495.46326,7428241.99162,0.835565840512,5.53932208276
914,305280,243865.967284,-15597667.1305,0.798827198912,-51.0929871937
915,106841,90666.3159197,706087.594269,0.848609765162,6.60876998782
916,212915,148775.047357,-2970140.04922,0.698753245929,-13.9498863359
917,1923598,1760096.48141,14455928.3074,0.915002241324,7.51504644285
918,83057,72751.5982615,-853728.850358,0.875923742267,-10.2788308073
919,539066,497144.708949,10642691.4272,0.922233472244,19.7428356217
920,1171904,1061795.18858,-5086571.68944,0.906042806052,-4.34043376372
921,1268748,1108793.54639,17861880.5586,0.873927325512,14.0783516968
922,710474,651552.755559,2816235.90096,0.917067697846,3.96388312727
923,1042268,985367.196058,-2653455.80919,0.94540674381,-2.54584790974
924,159104,151108.801944,-4708339.01736,0.949748604335,-29.5928387556
925,1354809,1276718.75966,25711433.0473,0.942360701518,18.9779024551
926,1215989,1050030.92712,27879967.9698,0.863520087041,22.9278126445
927,484908,441014.423018,-7746858.02063,0.90948060873,-15.9759336217
928,1224514,1099579.69538,9119524.36817,0.897972334644,7.4474643558
930,684624,615473.870826,-14747913.1182,0.89899546441,-21.5416244802
931,186133,158878.000438,-11181176.2012,0.853572447861,-60.0708966232
932,722613,700446.630349,-12089066.8956,0.969324701256,-16.7296559785
933,520197,488995.366065,3746347.13846,0.940019581168,7.20178535912
934,478932,438820.070241,-2840313.44584,0.916247129532,-5.93051507487
935,492966,451029.886898,-11703869.7358,0.914931023435,-23.7417382453
936,510310,493915.743386,14175062.1821,0.96787392641,27.7773552979
937,559257,536435.174356,2783163.74233,0.959192597243,4.97653805376
939,356311,329957.652707,-12873846.0498,0.926038356118,-36.1309250903
940,809542,652642.784148,-49599566.4002,0.806187676672,-61.2686758688
941,784412,504782.546689,-93835046.0102,0.643517114334,-119.624694689
943,102793,76728.8558697,-10119589.403,0.746440476197,-98.4462891736
944,131801,103591.47359,-7379259.0459,0.785968798343,-55.9878835965
945,2257736,1969408.03454,-29412875.0635,0.872293321515,-13.0275971431
946,408763,332641.379028,-20579210.0331,0.813775657358,-50.3450900232
947,135243,104243.412023,-1737064.30955,0.770786007581,-12.8440237909
948,166367,148100.472553,-10572176.0116,0.890203421072,-63.5473141407
949,361257,287861.484766,-4941540.11862,0.796832960374,-13.6787387334
950,778367,662920.556872,-34887766.2051,0.851681220905,-44.8217437342
951,957688,822034.007878,-35321110.8276,0.85835262411,-36.8816470788
952,469388,437674.345412,-10281034.6677,0.932436162434,-21.9030624296
953,880831,828509.128536,6363847.11968,0.940599420928,7.22482192347
954,466055,388834.143501,-8803779.60755,0.834309563251,-18.8900014109
955,107375,101615.096332,1551613.8393,0.946357125323,14.4504199237
956,1113112,1002674.19126,20868378.4631,0.900784639154,18.7477796153
957,304103,292264.836255,21178470.9122,0.961071861361,69.6424267837
958,596239,544526.63159,-3304395.06066,0.91326906088,-5.54206460942
959,420742,383353.831984,3761184.17483,0.911137542685,8.93940746307
960,261796,245541.119758,4349851.58343,0.937910127574,16.6154241601
961,89363,85503.4196102,1225622.60284,0.956810084825,13.7151013601
